0,1,2,3,4,5,TrainOrVal,Partition_ID
FeTS2022_01264,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01264/FeTS2022_01264_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01264/FeTS2022_01264_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01264/FeTS2022_01264_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01264/FeTS2022_01264_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01264/FeTS2022_01264_seg.nii.gz,train,1
FeTS2022_00288,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00288/FeTS2022_00288_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00288/FeTS2022_00288_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00288/FeTS2022_00288_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00288/FeTS2022_00288_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00288/FeTS2022_00288_seg.nii.gz,train,1
FeTS2022_00419,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00419/FeTS2022_00419_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00419/FeTS2022_00419_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00419/FeTS2022_00419_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00419/FeTS2022_00419_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00419/FeTS2022_00419_seg.nii.gz,train,1
FeTS2022_00157,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00157/FeTS2022_00157_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00157/FeTS2022_00157_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00157/FeTS2022_00157_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00157/FeTS2022_00157_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00157/FeTS2022_00157_seg.nii.gz,train,1
FeTS2022_01212,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01212/FeTS2022_01212_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01212/FeTS2022_01212_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01212/FeTS2022_01212_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01212/FeTS2022_01212_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01212/FeTS2022_01212_seg.nii.gz,train,1
FeTS2022_01128,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01128/FeTS2022_01128_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01128/FeTS2022_01128_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01128/FeTS2022_01128_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01128/FeTS2022_01128_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01128/FeTS2022_01128_seg.nii.gz,train,1
FeTS2022_00292,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00292/FeTS2022_00292_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00292/FeTS2022_00292_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00292/FeTS2022_00292_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00292/FeTS2022_00292_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_00292/FeTS2022_00292_seg.nii.gz,train,1
FeTS2022_01131,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01131/FeTS2022_01131_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01131/FeTS2022_01131_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01131/FeTS2022_01131_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01131/FeTS2022_01131_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01131/FeTS2022_01131_seg.nii.gz,train,1
FeTS2022_01084,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01084/FeTS2022_01084_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01084/FeTS2022_01084_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01084/FeTS2022_01084_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01084/FeTS2022_01084_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01084/FeTS2022_01084_seg.nii.gz,train,1
FeTS2022_01353,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01353/FeTS2022_01353_t1.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01353/FeTS2022_01353_t2.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01353/FeTS2022_01353_flair.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01353/FeTS2022_01353_t1ce.nii.gz,/home/wang_yuan/fets2022/Data/TrainingData/FeTS2022_01353/FeTS2022_01353_seg.nii.gz,train,1
